main_category_id, main_category_name, subCategory_id, subCategory_name, term_id, term_name, term_difinition
0,Communications,0,Application Service Providers (ASPs),13,cloud provider,
0,Communications,0,Application Service Providers (ASPs),14,CompTIA,	    The Computing Technology Industry Association (CompTIA) is the association representing the international technology community. Its goal is to provide a unified voice  global advocacy and leadership  and to advance industry growth through standards  professional competence  education and business solutions. In order to most efficiently serve the industry and its members  CompTIA has developed specialized initiatives and programs dedicated to major areas within the IT industry. They include  convergence technology  e-commerce  IT training  software services  certification  public policy and workforce development. PREVIOUScompressed sensingNEXTcompulsory license Related LinksCompTIA
0,Communications,0,Application Service Providers (ASPs),15,data center tiers,
0,Communications,0,Application Service Providers (ASPs),16,data mart,
0,Communications,0,Application Service Providers (ASPs),17,equipment footprint,	    In data center terminology  the equipment footprint refers to the physical area that is occupied only by data center equipment. It would not include areas such as aisles between racks and any space left at end of equipment rows.
0,Communications,0,Application Service Providers (ASPs),18,ERM - Enterprise Relationship Management,
0,Communications,0,Application Service Providers (ASPs),19,ERP - enterprise resource planning, QS:NO-OLAL 
0,Communications,0,Application Service Providers (ASPs),20,full-service provider,	    Abbreviated as FSP  in services and outsourcing  a full-service provider is an Application Service Provider (ASP) that specifically provides a range of Web-based information technology services to other companies. Services may include Web site development  e-mail and newsletter solutions  e-brochures  Web site management tools  and  e-commerce solutions. PREVIOUSfull-duplexNEXTFullStream 
0,Communications,0,Application Service Providers (ASPs),21,Hosting Services Provider,	    A Hosting Services Provider (HSP) is an application service provider dedicated to providing hosting services. Typically operates a Web server farm  either at a data center or colocation facility. PREVIOUShosting servicesNEXThot aisle/cold aisle 
0,Communications,0,Application Service Providers (ASPs),22,HRIS,	    Short for Human Resources Information System HRIS is a system used by human resources departments to track employees and information about them. A HRIS is often a database system or a series of inter-related databases. 
0,Communications,0,Application Service Providers (ASPs),23,Human Resources Management System,
0,Communications,0,Application Service Providers (ASPs),24,IaaS,	    Short for Infrastructure as a Service  IaaS is defined as computer infrastructure  such as virtualization  being delivered as a service. IaaS is popular in the data center where software and servers are purchased as a fully outsourced service and usually billed on usage and how much of the resource is used - compared to the traditional method of buying software and servers outright. May also be called enterprise-level hosting platform.
0,Communications,0,Application Service Providers (ASPs),25,in-row cooling,	    A technology common to data centers where a cooling system is installed between server racks in a row to provide cooled air to the server equipment more efficiently. PREVIOUSin-pointNEXTIn-Vehicle Infotainment (IVI) Related LinksData-center power glossaryWebopedia's "Did You Know...?" SectionWebopedia's Quick Reference Section
0,Communications,0,Application Service Providers (ASPs),26,ISP - Internet service provider,
0,Communications,0,Application Service Providers (ASPs),27,ISV,
0,Communications,0,Application Service Providers (ASPs),28,Managed Service Provider,	    A Managed Service Provider (MSP)  also called a Management Service Provider  is a company that manages information technology services for other companies via the Web. An MSP client may use internal operations or an ASP to run its business functions. PREVIOUSManaged Security ServiceNEXTmanagement software 
0,Communications,0,Application Service Providers (ASPs),29,mobile broadband,
0,Communications,0,Application Service Providers (ASPs),30,network service provider,
0,Communications,0,Application Service Providers (ASPs),31,on-demand software delivery,	    A type of software delivery service where the software is provided to the customer through a network (such as the Internet) as a service. On-demand software delivery is also called software on-demand. The terms on-demand software and Software as a Service (SaaS) are often used interchangeably. PREVIOUSon-demand scannerNEXTon-line 
0,Communications,0,Application Service Providers (ASPs),32,online service provider,	    Abbreviated as OSP  an online service provider is a generic term that describes any company  organization or group that provides an online service. These types of services may include Web sites  discussion forums   chat rooms  or Web mail. OSPs may also refer to a company that provides dial-up access to the Internet. PREVIOUSonline serviceNEXTOntology Web Language for Services Related LinksAmerica Online
0,Communications,0,Application Service Providers (ASPs),33,OPD,	    Short for outsourced product development  OPD is a term used to describe a company or organization that uses a third-party provider  called outsourcing  to develop software products.
0,Communications,0,Application Service Providers (ASPs),34,outsource,
